anchor,cluster,following_word,count
ben,ben cumhurbaşkanı,cumhurbaşkanı,2
ben,ben çocukluğum,çocukluğum,1
ben,ben türk,türk,1
ben,ben imam,imam,1
ben,ben iş,iş,1
ben,ben inanıyorum,inanıyorum,1
ben,ben vatandaşlarıma,vatandaşlarıma,1
ben,ben zamanında,zamanında,1
ben,ben elbette,elbette,1
ben,ben çağrıda,çağrıda,1
ben,ben teşekkür,teşekkür,1
biz,biz kayıtsız,kayıtsız,1
biz,biz net,net,1
biz,biz internette,internette,1
biz,biz bugün,bugün,1
biz,biz hepimiz,hepimiz,1
biz,biz ciddi,ciddi,1
biz,biz asgari,asgari,1
biz,biz öncelikle,öncelikle,1
biz,biz son,son,1
biz,biz ilk,ilk,1
biz,biz cumhurbaşkanlığı,cumhurbaşkanlığı,1
biz,biz doğrudan,doğrudan,1
biz,biz türkiyeyi,türkiyeyi,1
biz,biz türkiye,türkiye,1
biz,biz devleti,devleti,1
biz,biz kendimiz,kendimiz,1
biz,biz kendimizi,kendimizi,1
biz,biz yöneteceğiz,yöneteceğiz,1
