anchor,cluster,following_word,count
ben,ben size,size,6
ben,ben hiçbir,hiçbir,6
ben,ben kalkıp,kalkıp,4
ben,ben türk,türk,4
ben,ben sizin,sizin,4
ben,ben adayım,adayım,4
ben,ben şahsen,şahsen,3
ben,ben inanıyorum,inanıyorum,3
ben,ben cumhurbaşkanı,cumhurbaşkanı,3
ben,ben evime,evime,3
ben,ben türkiye,türkiye,3
ben,ben genel,genel,3
ben,ben istediğim,istediğim,3
ben,ben amerika,amerika,2
ben,ben olayım,olayım,2
ben,ben elbette,elbette,2
ben,ben bireysel,bireysel,2
ben,ben ihraç,ihraç,2
ben,ben başka,başka,2
ben,ben buradan,buradan,2
ben,ben aday,aday,2
ben,ben sorumluluk,sorumluluk,2
ben,ben anlamıyorum,anlamıyorum,2
ben,ben sayın,sayın,2
ben,ben kahraman,kahraman,2
ben,ben terör,terör,2
ben,ben seçtim,seçtim,2
ben,ben onlara,onlara,2
ben,ben tek,tek,2
ben,ben malum,malum,1
biz,biz yaptık,yaptık,6
biz,biz varız,varız,4
biz,biz türkiye,türkiye,4
biz,biz ımf,ımf,3
biz,biz asla,asla,3
biz,biz seçim,seçim,3
biz,biz tek,tek,3
biz,biz değil,değil,3
biz,biz buyuz,buyuz,3
biz,biz hdp,hdp,3
biz,biz diğer,diğer,3
biz,biz haliç,haliç,2
biz,biz göreve,göreve,2
biz,biz olaya,olaya,2
biz,biz dedik,dedik,2
biz,biz kaldırdık,kaldırdık,2
biz,biz açtık,açtık,2
biz,biz hiçbir,hiçbir,2
biz,biz türkiyeyi,türkiyeyi,2
biz,biz severiz,severiz,2
biz,biz biliyoruz,biliyoruz,2
biz,biz cumhurbaşkanlığı,cumhurbaşkanlığı,2
biz,biz asgari,asgari,2
biz,biz ilk,ilk,2
biz,biz evimize,evimize,2
biz,biz birbirimizi,birbirimizi,2
biz,biz türk,türk,2
biz,biz bize,bize,2
biz,biz yüzde,yüzde,2
biz,biz sayın,sayın,2
devlet,devlet adamı,adamı,5
devlet,devlet adamlığı,adamlığı,2
devlet,devlet hastanesi,hastanesi,2
devlet,devlet adamları,adamları,2
devlet,devlet imkanlarıyla,imkanlarıyla,2
devlet,devlet bey,bey,2
devlet,devlet diyoruz,diyoruz,1
devlet,devlet yönetmede,yönetmede,1
devlet,devlet beyle,beyle,1
devlet,devlet yaşasın,yaşasın,1
devlet,devlet kapısında,kapısında,1
devlet,devlet başkanı,başkanı,1
devlet,devlet para,para,1
devlet,devlet diyor,diyor,1
devlet,devlet imkanıyla,imkanıyla,1
devlet,devlet tarafından,tarafından,1
devlet,devlet olmaya,olmaya,1
devlet,devlet bilmeyecek,bilmeyecek,1
devlet,devlet rayından,rayından,1
devlet,devlet televizyonları,televizyonları,1
devlet,devlet terbiyem,terbiyem,1
devlet,devlet sırrı,sırrı,1
devlet,devlet kurumunda,kurumunda,1
devlet,devlet şifresi,şifresi,1
devlet,devlet adamıyım,adamıyım,1
devlet,devlet aklı,aklı,1
devlet,devlet katkısından,katkısından,1
devlet,devlet adamına,adamına,1
devlet,devlet demek,demek,1
devlet,devlet anlayışında,anlayışında,1
millet,millet ittifakı,ittifakı,18
millet,millet meclisi,meclisi,3
millet,millet tek,tek,2
millet,millet ittifakından,ittifakından,1
millet,millet özellikle,özellikle,1
millet,millet oluşturamazsınız,oluşturamazsınız,1
millet,millet sevilmez,sevilmez,1
millet,millet yutmuyor,yutmuyor,1
millet,millet mayasının,mayasının,1
millet,millet hakikaten,hakikaten,1
millet,millet aklı,aklı,1
millet,millet seçimini,seçimini,1
milletimiz,milletimiz sandıkta,sandıkta,1
milletimiz,milletimiz ola,ola,1
milletimiz,milletimiz kendilerini,kendilerini,1
milletimiz,milletimiz cumhurbaşkanlığı,cumhurbaşkanlığı,1
milletimiz,milletimiz kararını,kararını,1
milletimiz,milletimiz türkiye,türkiye,1
milletimiz,milletimiz var,var,1
türk,türk milliyetçisi,milliyetçisi,21
türk,türk milletinin,milletinin,15
türk,türk milliyetçileri,milliyetçileri,10
türk,türk milleti,milleti,9
türk,türk milliyetçilerini,milliyetçilerini,9
türk,türk milliyetçilerinin,milliyetçilerinin,9
türk,türk milletine,milletine,6
türk,türk siyasetinde,siyasetinde,5
türk,türk siyasetinin,siyasetinin,5
türk,türk genci,genci,3
türk,türk dünyasının,dünyasının,3
türk,türk milliyetçisiyim,milliyetçisiyim,3
türk,türk siyaseti,siyaseti,3
türk,türk milliyetçiliği,milliyetçiliği,3
türk,türk devletleri,devletleri,3
türk,türk bayrağı,bayrağı,2
türk,türk milletini,milletini,2
türk,türk dünyasına,dünyasına,2
türk,türk dünyası,dünyası,2
türk,türk siyasetinden,siyasetinden,2
türk,türk siyasetini,siyasetini,2
