anchor,cluster,following_word,count
ben,ben cumhurbaşkanı,cumhurbaşkanı,2
ben,ben çocukluğum,çocukluğum,1
ben,ben türk,türk,1
ben,ben imam,imam,1
ben,ben iş,iş,1
ben,ben inanıyorum,inanıyorum,1
ben,ben vatandaşlarıma,vatandaşlarıma,1
ben,ben zamanında,zamanında,1
ben,ben elbette,elbette,1
ben,ben çağrıda,çağrıda,1
ben,ben teşekkür,teşekkür,1
biz,biz kayıtsız,kayıtsız,1
biz,biz net,net,1
biz,biz internette,internette,1
biz,biz bugün,bugün,1
biz,biz hepimiz,hepimiz,1
biz,biz ciddi,ciddi,1
biz,biz asgari,asgari,1
biz,biz öncelikle,öncelikle,1
biz,biz son,son,1
biz,biz ilk,ilk,1
biz,biz cumhurbaşkanlığı,cumhurbaşkanlığı,1
biz,biz doğrudan,doğrudan,1
biz,biz türkiyeyi,türkiyeyi,1
biz,biz türkiye,türkiye,1
biz,biz devleti,devleti,1
biz,biz kendimiz,kendimiz,1
biz,biz kendimizi,kendimizi,1
biz,biz yöneteceğiz,yöneteceğiz,1
devlet,devlet başkanı,başkanı,1
devlet,devlet para,para,1
devlet,devlet diyor,diyor,1
devlet,devlet imkanıyla,imkanıyla,1
devlet,devlet tarafından,tarafından,1
devlet,devlet olmaya,olmaya,1
devlet,devlet bilmeyecek,bilmeyecek,1
devlet,devlet rayından,rayından,1
devlet,devlet televizyonları,televizyonları,1
millet,millet ittifakı,ittifakı,1
millet,millet hakikaten,hakikaten,1
türk,türk milletinin,milletinin,8
türk,türk milleti,milleti,5
türk,türk milletine,milletine,4
türk,türk genci,genci,2
türk,türk dünyasına,dünyasına,1
türk,türk dünyasının,dünyasının,1
türk,türk vatandaşının,vatandaşının,1
türk,türk gencinin,gencinin,1
türk,türk kadınlarının,kadınlarının,1
türk,türk milletini,milletini,1
türk,türk milliyetçisiyim,milliyetçisiyim,1
türk,türk filmi,filmi,1
türk,türk mühendisler,mühendisler,1
türk,türk millet,millet,1
türk,türk gençleri,gençleri,1
türk,türk milliyetçisi,milliyetçisi,1
türk,türk milletimize,milletimize,1
türk,türk siyasetinde,siyasetinde,1
türkiye,türkiye cumhuriyeti,cumhuriyeti,1
türkiye,türkiye batıdan,batıdan,1
türkiye,türkiye toplam,toplam,1
türkiye,türkiye türk,türk,1
türkiye,türkiye geliyor,geliyor,1
türkiye,türkiye internet,internet,1
türkiye,türkiye sayısal,sayısal,1
türkiye,türkiye yapabilecek,yapabilecek,1
türkiye,türkiye geneline,geneline,1
türkiye,türkiye kötü,kötü,1
türkiye,türkiye liyakatsiz,liyakatsiz,1
türkiye,türkiye rant,rant,1
türkiye,türkiye sonradan,sonradan,1
türkiye,türkiye akp,akp,1
türkiye,türkiye anlayışıyla,anlayışıyla,1
türkiye,türkiye üretim,üretim,1
türkiye,türkiye getirmeye,getirmeye,1
türkiye,türkiye getireceğiz,getireceğiz,1
türkiye,türkiye katkıları,katkıları,1
türkiye,türkiye cemaatler,cemaatler,1
türkiye,türkiye adalet,adalet,1
türkiye,türkiye dengesini,dengesini,1
türkiye,türkiye devlet,devlet,1
türkiye,türkiye vizyonunu,vizyonunu,1
