anchor,cluster,following_word,count
ben,ben hiçbir,hiçbir,5
ben,ben adayım,adayım,4
ben,ben genel,genel,3
ben,ben size,size,3
ben,ben istediğim,istediğim,3
ben,ben terör,terör,2
ben,ben kalkıp,kalkıp,2
ben,ben seçtim,seçtim,2
ben,ben onlara,onlara,2
ben,ben tek,tek,2
ben,ben emine,emine,1
ben,ben kente,kente,1
ben,ben diyor,diyor,1
ben,ben çalışacağım,çalışacağım,1
ben,ben köyde,köyde,1
ben,ben sizin,sizin,1
ben,ben öğrenmeden,öğrenmeden,1
ben,ben alana,alana,1
ben,ben gerekçe,gerekçe,1
ben,ben asgari,asgari,1
ben,ben parti,parti,1
ben,ben grup,grup,1
ben,ben istiyorum,istiyorum,1
ben,ben ısrar,ısrar,1
ben,ben yapmıyorum,yapmıyorum,1
ben,ben siyasal,siyasal,1
ben,ben ahlaki,ahlaki,1
ben,ben sandıkta,sandıkta,1
ben,ben varız,varız,1
ben,ben yerel,yerel,1
biz,biz diğer,diğer,3
biz,biz üretmiyoruz,üretmiyoruz,2
biz,biz kendi,kendi,2
biz,biz onları,onları,2
biz,biz iyi,iyi,2
biz,biz yönetiyoruz,yönetiyoruz,2
biz,biz demokrasiyi,demokrasiyi,2
biz,biz gerçekten,gerçekten,1
biz,biz kazanıyoruz,kazanıyoruz,1
biz,biz su,su,1
biz,biz yeniden,yeniden,1
biz,biz yönetmeliklere,yönetmeliklere,1
biz,biz bakın,bakın,1
biz,biz teröre,teröre,1
biz,biz cumhuriyet,cumhuriyet,1
biz,biz bölücü,bölücü,1
biz,biz pazar,pazar,1
biz,biz iki,iki,1
biz,biz yeni,yeni,1
biz,biz başka,başka,1
biz,biz yaptık,yaptık,1
biz,biz onlardan,onlardan,1
biz,biz geçmişi,geçmişi,1
biz,biz aklımızla,aklımızla,1
biz,biz değil,değil,1
biz,biz kırsalda,kırsalda,1
biz,biz sabırla,sabırla,1
biz,biz yüzde,yüzde,1
biz,biz oraya,oraya,1
biz,biz yapmadık,yapmadık,1
