anchor,cluster,following_word,count
ben,ben size,size,6
ben,ben hiçbir,hiçbir,6
ben,ben kalkıp,kalkıp,4
ben,ben türk,türk,4
ben,ben sizin,sizin,4
ben,ben adayım,adayım,4
ben,ben şahsen,şahsen,3
ben,ben inanıyorum,inanıyorum,3
ben,ben cumhurbaşkanı,cumhurbaşkanı,3
ben,ben evime,evime,3
ben,ben türkiye,türkiye,3
ben,ben genel,genel,3
ben,ben istediğim,istediğim,3
ben,ben amerika,amerika,2
ben,ben olayım,olayım,2
ben,ben elbette,elbette,2
ben,ben bireysel,bireysel,2
ben,ben ihraç,ihraç,2
ben,ben başka,başka,2
ben,ben buradan,buradan,2
ben,ben aday,aday,2
ben,ben sorumluluk,sorumluluk,2
ben,ben anlamıyorum,anlamıyorum,2
ben,ben sayın,sayın,2
ben,ben kahraman,kahraman,2
ben,ben terör,terör,2
ben,ben seçtim,seçtim,2
ben,ben onlara,onlara,2
ben,ben tek,tek,2
ben,ben malum,malum,1
biz,biz yaptık,yaptık,6
biz,biz varız,varız,4
biz,biz türkiye,türkiye,4
biz,biz ımf,ımf,3
biz,biz asla,asla,3
biz,biz seçim,seçim,3
biz,biz tek,tek,3
biz,biz değil,değil,3
biz,biz buyuz,buyuz,3
biz,biz hdp,hdp,3
biz,biz diğer,diğer,3
biz,biz haliç,haliç,2
biz,biz göreve,göreve,2
biz,biz olaya,olaya,2
biz,biz dedik,dedik,2
biz,biz kaldırdık,kaldırdık,2
biz,biz açtık,açtık,2
biz,biz hiçbir,hiçbir,2
biz,biz türkiyeyi,türkiyeyi,2
biz,biz severiz,severiz,2
biz,biz biliyoruz,biliyoruz,2
biz,biz cumhurbaşkanlığı,cumhurbaşkanlığı,2
biz,biz asgari,asgari,2
biz,biz ilk,ilk,2
biz,biz evimize,evimize,2
biz,biz birbirimizi,birbirimizi,2
biz,biz türk,türk,2
biz,biz bize,bize,2
biz,biz yüzde,yüzde,2
biz,biz sayın,sayın,2
